citing_id,cited_id
850,487
958,487
958,490
965,490
879,490
423,491
772,491
385,491
485,491
733,491
591,491
885,491
415,496
985,498
751,498
628,498
400,500
694,500
601,500
404,500
941,500
363,500
760,500
464,500
803,500
851,500
914,500
577,500
529,500
245,500
689,500
401,594
401,595
401,155
401,742
401,1086
401,597
401,399
401,649
401,3404
401,698
401,750
401,943
401,549
401,552
401,903
401,950
401,1100
401,859
402,397
402,155
402,1036
402,1044
402,797
403,198
403,594
403,595
403,155
403,792
403,889
403,2769
403,619
404,397
404,2241
404,887
404,594
404,595
404,155
404,2197
404,598
404,2571
404,399
404,649
404,792
404,889
404,890
404,599
404,747
404,1088
404,601
404,748
404,1089
404,3210
404,2769
404,939
404,3404
404,698
404,750
404,943
404,660
404,704
404,550
404,5961
404,552
404,903
404,753
404,505
404,605
404,608
404,1098
404,1100
404,763
404,805
404,1101
404,957
404,1394
404,371
404,619
404,1061
404,969
404,384
405,596
405,647
405,598
405,845
406,3349
406,3302
406,1370
406,3399
406,2290
406,3447
406,2144
406,594
406,1707
406,2196
406,1658
406,1322
406,3011
406,2049
406,2622
406,1517
406,792
406,259
406,2433
406,889
406,1611
406,1471
406,2822
406,2769
406,3402
406,1956
406,1569
406,3650
406,3499
406,3404
406,3405
406,1763
406,2825
406,2681
406,2532
406,2581
406,2774
406,3563
406,1967
406,1244
406,2397
406,3180
406,848
406,3473
406,3224
406,2932
406,1343
406,4793
406,384
406,2852
406,1991
406,3200
407,949
407,858
407,627
407,379
407,773
407,874
408,595
408,1100
409,55
409,940
409,607
409,759
409,364
409,523
409,572
409,969
410,595
410,1086
410,597
410,939
410,2681
410,660
410,1100
410,1101
414,356
414,997
414,867
415,594
415,595
415,597
415,939
415,696
415,698
415,943
415,549
415,950
415,666
415,1100
415,763
415,1002
415,515
416,649
416,652
416,1905
416,754
416,951
416,560
416,2020
416,817
417,2769
417,2681
417,370
418,1515
418,900
419,647
419,703
419,661
421,647
421,932
422,4
422,1819
423,596
423,647
423,598
424,1706
424,302
424,647
424,598
424,2248
424,714
425,647
425,703
425,499
425,925
426,5834
426,398
426,1036
427,597
427,698
427,549
427,660
428,5270
428,2241
428,251
428,1856
428,1905
428,901
428,503
428,1481
428,668
429,703
430,397
431,576
434,4
435,889
435,891
435,841
435,365
439,397
440,511
440,1060
440,834
441,10
441,3131
442,1072
445,5947
445,888
445,1039
445,1044
445,519
445,522
445,673
446,935
446,1657
446,598
446,2571
446,1807
446,2247
446,990
446,1906
446,129
446,1048
447,5834
447,594
447,595
447,597
447,649
447,2769
447,939
447,3404
447,3224
448,595
448,356
448,704
448,996
448,365
448,642
449,397
449,887
449,1470
449,2574
449,1421
449,2439
450,647
450,354
450,661
450,705
450,714
451,397
452,299
452,397
452,887
452,595
452,1815
452,707
452,764
453,298
453,5834
453,397
453,594
453,792
453,889
453,701
453,619
454,594
454,646
454,595
454,888
454,1039
454,798
454,802
454,1000
454,960
454,567
455,5836
455,1036
456,299
456,198
456,397
456,1036
456,400
456,649
456,1090
456,357
456,796
456,607
456,954
456,713
457,161
458,397
458,1044
459,3400
459,797
460,397
460,5836
460,797
460,669
461,893
462,1044
462,797
463,155
463,1044
463,797
463,758
463,812
464,596
464,647
464,598
464,747
464,940
464,604
464,362
464,945
464,845
464,664
464,558
464,5783
465,511
465,762
465,624
465,858
465,770
465,773
466,397
466,155
466,1036
466,888
466,1000
467,1093
467,753
467,513
467,514
467,1124
468,5947
468,2669
468,172
468,1044
468,797
468,758
468,366
468,812
468,519
468,854
468,565
468,861
468,718
468,1118
468,341
468,978
468,786
468,735
468,1027
468,5887
469,594
469,1086
469,791
469,695
470,5270
470,298
470,5844
470,5399
470,301
470,887
470,53
470,594
470,646
470,742
470,1086
470,791
470,649
470,889
470,3210
470,1763
470,3213
470,798
470,806
471,935
471,2475
471,596
471,647
471,697
471,1091
471,705
471,564
471,862
471,918
471,783
472,599
472,1088
472,794
472,550
472,554
472,606
472,761
474,647
474,703
474,661
475,3447
475,1907
475,808
475,1024
476,2197
477,888
477,695
477,563
478,918
479,1901
